"Country or Area","Year","Unit","Value","Value Footnotes"
"Turkey","2003","Metric tons","117",""
"Turkey","2002","Metric tons","148",""
"Turkey","2001","Metric tons","110",""
"Turkey","2000","Metric tons","131","15"
"Turkey","1999","Metric tons","122","15"
"Turkey","1998","Metric tons","127","15"
"Turkey","1997","Metric tons","241","15"
"Turkey","1996","Metric tons","331","15"
"Turkey","1995","Metric tons","315","15"
"Ukraine","2014","Metric tons","10146",""
"Ukraine","2013","Metric tons","2727",""
"Ukraine","2012","Metric tons","2677",""
"Ukraine","2011","Metric tons","2471",""
"Ukraine","2010","Metric tons","3150",""
"Ukraine","2009","Metric tons","2444",""
"Ukraine","2008","Metric tons","4372",""
"Ukraine","2007","Metric tons","7053",""
"Ukraine","2006","Metric tons","9858",""
"Ukraine","2005","Metric tons","7771",""
"Ukraine","2004","Metric tons","7217",""
"Ukraine","2003","Metric tons","8812",""
"United Kingdom","2004","Metric tons","5186","6"
"United Kingdom","2004","Mil. USD","274.634735801384","6"
"United Kingdom","2003","Mil. USD","237.561686443065","6"
"United Kingdom","2002","Mil. USD","207.276923768653","6"
"United Kingdom","2001","Mil. USD","186.855345459257","6"
"United Kingdom","2000","Metric tons","5540","6"
"United Kingdom","1999","Metric tons","8368","6"
"United Kingdom","1999","Mil. USD","200.143402667112","6"
"United Kingdom","1998","Metric tons","6958","6"
"United Kingdom","1998","Mil. USD","190.287363908946","6"
"United Kingdom","1997","Metric tons","7619","6"
"United Kingdom","1997","Mil. USD","173.860054336969","6"
"United Kingdom","1996","Metric tons","6665","6"
"United Kingdom","1996","Mil. USD","167.405598044759","6"
"United Kingdom","1995","Metric tons","5690","6"
"United Kingdom","1995","Mil. USD","137.138033707613","6"
"United Republic of Tanzania","2015","Metric tons","52224","16"
"United Republic of Tanzania","2015","Mil. USD","61.5891114387923","16"
"United Republic of Tanzania","2014","Metric tons","53965","16"
"United Republic of Tanzania","2014","Mil. USD","75.7216798183206","16"
"United Republic of Tanzania","2013","Metric tons","77033","16"
"United Republic of Tanzania","2013","Mil. USD","106.661630265266","16"
"United Republic of Tanzania","2012","Metric tons","94420","16"
"United Republic of Tanzania","2011","Metric tons","54012","16"
"United Republic of Tanzania","2010","Metric tons","51548","16"
"United Republic of Tanzania","2009","Metric tons","75096","16"
"United Republic of Tanzania","2009","Mil. USD","101.420720132563","16"
"United Republic of Tanzania","2008","Metric tons","56193","16"
"United Republic of Tanzania","2008","Mil. USD","105.404891078189","16"
"United Republic of Tanzania","2007","Metric tons","57886","16"
"United Republic of Tanzania","2007","Mil. USD","238.134582155653","16"
"United Republic of Tanzania","2006","Metric tons","54685","16"
"United Republic of Tanzania","2006","Mil. USD","311.034274706611","16"
"United Republic of Tanzania","2005","Metric tons","68599","16"
"United Republic of Tanzania","2005","Mil. USD","156.630920795816","16"
"United Republic of Tanzania","2004","Metric tons","42080","16"
"United Republic of Tanzania","2003","Metric tons","21898","16"
"United Republic of Tanzania","2002","Metric tons","23805","16"
"United Republic of Tanzania","2001","Metric tons","17701","16"
"United Republic of Tanzania","2000","Metric tons","15107","16"
"United Republic of Tanzania","1999","Metric tons","15571","16"
"United Republic of Tanzania","1998","Metric tons","28197","16"
"United Republic of Tanzania","1997","Metric tons","25293","16"
"United Republic of Tanzania","1996","Metric tons","23586","16"
"United Republic of Tanzania","1995","Metric tons","14519","16"
"United States of America","1999","Metric tons","63672.566",""
"United States of America","1996","Metric tons","58226","17"
"Uruguay","2010","Mil. USD","12.0747135676638",""
"Uruguay","2003","Mil. USD","4.69090284847279",""
"Uruguay","2001","Mil. USD","8.91865031089397",""
"Uruguay","2000","Mil. USD","5.54392667521148",""
"Uruguay","1999","Mil. USD","5.53001172911908",""
"Uruguay","1998","Mil. USD","5.30447565313575",""
"Uruguay","1997","Mil. USD","5.84492058392615",""
"Uzbekistan","2016","Metric tons","5211.6",""
"Uzbekistan","2016","Mil. USD","6.32240060644475",""
"Uzbekistan","1997","Metric tons","9066",""
"Uzbekistan","1996","Metric tons","10247",""
"Uzbekistan","1995","Metric tons","3827",""
"Viet Nam","2005","Metric tons","12150",""
"Viet Nam","2004","Metric tons","12060",""
"Viet Nam","2003","Metric tons","8817",""
"Viet Nam","2002","Metric tons","6623",""
"Viet Nam","2001","Metric tons","1944",""
"Viet Nam","2000","Metric tons","1270",""
